games_id,na_sales_in_millions,pal_sales_in_millions,jp_sales_in_millions,other_sales_in_millions,global_sales_in_millions,total_shipped_in_millions
765,0.46,0.31,,0.05,0.83,
766,,,,,,
767,0.13,0.09,0.16,0.03,0.41,
768,0.39,0.26,0.53,0.08,1.27,
769,,,0.23,0.02,0.25,
770,0.14,0.09,,0.02,0.24,
771,,,,,,
772,0.13,0.07,1.0,0.02,1.22,
773,,,0.32,,0.32,
774,,,0.11,0.01,0.12,
775,0.13,0.09,,0.02,0.24,
776,,,,,,
777,,,0.35,0.02,0.37,
778,,,0.19,0.01,0.21,
779,,,,,,
780,,,,,,
781,,,0.14,0.01,0.15,
782,0.01,0.01,,0.0,0.02,
783,0.01,0.01,,0.0,0.02,
784,0.01,0.01,0.09,0.01,0.11,
785,0.71,0.48,0.32,0.11,1.63,
786,0.09,2.43,0.12,0.22,2.87,
787,0.39,0.27,0.43,0.08,1.16,
788,,,,,,
789,0.03,0.02,,0.0,0.06,
790,,,,,,
791,0.19,0.13,,0.02,0.34,
792,0.14,0.1,,0.02,0.25,
793,,,,,,
794,0.05,0.03,,0.01,0.09,
795,0.04,0.03,,0.0,0.08,
796,1.52,0.46,0.2,0.08,2.25,
797,0.1,0.07,0.24,0.03,0.43,
798,0.08,0.06,0.21,0.02,0.37,
799,0.02,0.01,0.1,0.01,0.14,
800,,,,,,
801,,,,,,
802,,,,,,
803,,,0.32,0.02,0.34,
804,,,,,,
805,0.94,0.44,0.39,0.1,1.86,
806,,,,,,
807,,,,,,
808,,,,,,
809,,,,,,
810,0.05,0.04,,0.01,0.1,
811,,,,,,
812,,,,,,
813,,,0.1,0.01,0.11,
814,,,,,,
815,,,,,,
816,,,0.06,0.0,0.07,
817,,,,,,
818,0.29,0.2,0.02,0.04,0.55,
819,,,,,,
820,,,,,,
821,0.26,0.17,0.46,0.06,0.95,
822,0.19,0.13,0.31,0.04,0.67,
823,,,0.09,0.01,0.1,
824,,,,,,
825,,,0.09,0.01,0.09,
826,,,0.16,0.01,0.17,
827,,,,,,
828,,,,,,
829,0.01,0.01,,0.0,0.02,
830,0.26,0.16,1.46,0.03,1.92,
831,0.12,0.08,0.41,0.04,0.66,
832,,,,,,
833,,,,,,
834,,,,,,
835,0.03,0.02,0.05,0.01,0.11,
836,0.17,0.11,,0.02,0.3,
837,1.15,0.2,,0.05,1.4,
838,0.48,0.33,,0.06,0.87,
839,0.15,0.1,,0.02,0.26,
840,,,,,,
841,0.05,0.03,,0.01,0.08,
842,,,0.13,0.01,0.13,
843,,,,,,
844,0.21,0.14,,0.02,0.38,
845,,,,,,
846,,,,,,
847,,,,,,
848,,,0.37,0.03,0.4,
849,,,0.02,0.0,0.03,
850,0.23,0.16,,0.03,0.41,
851,0.14,0.09,,0.02,0.25,
852,,,,,,
853,,,,,,
854,0.69,0.47,,0.08,1.23,
855,0.23,0.15,,0.03,0.4,
856,0.08,0.05,,0.01,0.14,
857,,,,,,
858,,,,,,
859,0.03,0.02,,0.0,0.05,
860,,,,,,
861,0.17,0.12,,0.02,0.31,
862,,,,,,
863,,,,,,
864,,,,,,
865,,,,,,
866,,,0.92,0.13,1.05,
867,,,0.39,0.03,0.42,
868,,,,,,
869,,,,,,
870,0.37,0.25,,0.04,0.66,
871,,,0.46,0.03,0.5,
872,,,0.38,0.03,0.4,
873,0.12,0.08,0.66,0.06,0.92,
874,0.25,0.17,,0.03,0.46,
875,0.22,0.15,,0.03,0.39,
876,,,,,,
877,,,1.0,0.07,1.07,
878,0.05,0.04,,0.01,0.09,
879,,,,,,
880,,,,,,
881,,,0.14,0.01,0.15,
882,0.05,0.03,0.21,0.02,0.3,
883,0.05,0.03,0.15,0.02,0.25,
884,0.16,0.11,,0.02,0.29,
885,0.15,0.1,,0.02,0.26,
886,,,,,,
887,0.28,0.19,,0.03,0.51,
888,0.26,0.17,,0.03,0.46,
889,,,,,,10.85
890,,,,,,9.37
891,0.17,0.11,0.2,0.03,0.52,
892,0.05,0.03,,0.01,0.09,
893,0.11,0.08,,0.01,0.2,
894,,,,,,
895,,,1.1,0.01,1.11,
896,,,,,,1.09
